attribute_id;dispositivi_compatibili;raw_value;formatted_value;sample_values;axisGroup;code;description;formatValueOnly;formatWithUnit
1;;;;N/A;;d;gatewayID;%s;%s
2;;;;N/A;;v;Fw Version;%s;%s
3;;;;N/A;;build;Fw Build date;%s;%s
4;;;;N/A;;lt;Latitude;%.5F;%.5F LAT
5;;;;N/A;;lg;Longitude;%.5F;%.5F LNG
6;Multiplus2;;;"1754310466:1170216; 1754310526:1170216; 1754311786:1170216; 1754311846:1170216; 1754311906:1170216";;vmk2;mk2 version;%s;%s
7;;;;N/A;;vvt;VE.Bus device;%s;%s
8;Multiplus2;;;"1754310469:0; 1754310529:0; 1754310589:0; 1754310649:0; 1754310709:0";AC Voltage;IV1;Input voltage phase 1;%.1F;%.1F V
9;;;;N/A;AC Voltage;IV2;Input voltage phase 2;%.1F;%.1F V
10;;;;N/A;AC Voltage;IV3;Input voltage phase 3;%.1F;%.1F V
11;Multiplus2;;;"1754310472:0; 1754310532:0; 1754310592:0; 1754310652:0; 1754310712:0";;II1;Input current phase 1;%.1F;%.1F A
12;;;;N/A;;II2;Input current phase 2;%.1F;%.1F A
13;;;;N/A;;II3;Input current phase 3;%.1F;%.1F A
14;Multiplus2;;;"1754310474:0; 1754310534:0; 1754310594:0; 1754310654:0; 1754310714:0";;IF1;Input frequency 1;%.2F;%.2F Hz
15;;;;N/A;;IF2;Input frequency 2;%.2F;%.2F Hz
16;;;;N/A;;IF3;Input frequency 3;%.2F;%.2F Hz
17;Multiplus2;;;"1754310477:0; 1754310537:0; 1754310597:0; 1754310657:0; 1754310717:0";;IP1;Input power 1;%.0F;%.0F W
18;;;;N/A;;IP2;Input power 2;%.0F;%.0F W
19;;;;N/A;;IP3;Input power 3;%.0F;%.0F W
20;Multiplus2;;;"1754310480:0; 1754310540:0; 1754310600:0; 1754310660:0; 1754310720:0";AC Voltage;OV1;Output voltage phase 1;%.1F;%.1F V
21;;;;N/A;AC Voltage;OV2;Output voltage phase 2;%.1F;%.1F V
22;;;;N/A;AC Voltage;OV3;Output voltage phase 3;%.1F;%.1F V
23;Multiplus2;;;"1754310483:0; 1754310543:0; 1754310603:0; 1754310663:0; 1754310723:0";;OI1;Output current phase 1;%.1F;%.1F A
24;;;;N/A;;OI2;Output current phase 2;%.1F;%.1F A
25;;;;N/A;;OI3;Output current phase 3;%.1F;%.1F A
26;Multiplus2;;;"1754310488:50; 1754310548:50.1; 1754310608:50; 1754310668:50; 1754310728:50";;OF;Output frequency;%.1F;%.1F Hz
27;Multiplus2;;;"1754310489:3.7; 1754310549:3.7; 1754310609:3; 1754310669:3.7; 1754310729:3.7";;AILIM;Active input current limit;%.2F;%.2F A
28;;;;N/A;N/A;N/A;N/A;N/A;N/A
29;Multiplus2;;;"1754310493:0; 1754310553:0; 1754310613:0; 1754310673:0; 1754310733:0";;OP1;Output power 1;%.0F;%.0F W
30;;;;N/A;;OP2;Output power 2;%.0F;%.0F W
31;;;;N/A;;OP3;Output power 3;%.0F;%.0F W
32;Multiplus2;;;"1754310497:52.65; 1754310557:52.66; 1754310617:52.65; 1754310677:52.66; 1754310737:52.66";Battery Voltage;CV;Voltage;%.2F;%.2F V
33;Multiplus2;;;"1754310498:0; 1754310558:0; 1754310618:0; 1754310678:0; 1754310738:0";;CI;Current;%.1F;%.1F A
34;Multiplus2;;;"1754310499:1; 1754311759:1; 1754311819:1; 1754311879:1; 1754313139:1";;PC;Phase count;%d;%d
35;Multiplus2;;;"1754310500:240; 1754310560:240; 1754310620:240; 1754310680:240; 1754310740:240";;AI;Active input;%s;%s
36;;;;N/A;;AA;Auxiliary output active;%s;%s
37;;;;N/A;;LD;LEDs (?);%d;%d
38;;;;N/A;;LDB;LEDs Blinking (?);%d;%d
39;;;;N/A;Percetange;VSOC;VE.Bus state of charge;%.0F;%.0F %%
40;Multiplus2;;;"1754310506:0; 1754310566:0; 1754310626:0; 1754310686:0; 1754310746:0";;S;VE.Bus state;%s;%s
41;Multiplus2;;;"1754310508:0; 1754310568:0; 1754310628:0; 1754310688:0; 1754310748:0";;ERR;VE.Bus Error;%s;%s
42;Multiplus2;;;"1754310509:0; 1754310569:0; 1754310629:0; 1754310689:0; 1754310749:0";;eT;Temperature;%s;%s
43;Multiplus2;;;"1754310511:2; 1754310571:2; 1754310631:2; 1754310691:2; 1754310751:2";;eL;Low battery;%s;%s
